Size 889 
 2.1419809e-04 2.4326466e-04 2.3533757e-04
 2.5055045e-04 2.5884770e-04 2.6459584e-04
 2.6853421e-04 2.7755964e-04 2.0732053e-04
 2.0094806e-04 2.0781618e-04 1.9522822e-04
 1.8854817e-04 1.8343067e-04 1.7705455e-04
 1.8250154e-04 1.7229289e-04 1.6629678e-04
 1.6226328e-04 1.5671664e-04 1.6874160e-04
 2.2160970e-04 2.2814440e-04 1.0074521e-04
 1.0195511e-04 1.0573968e-04 1.0364831e-04
 1.0033788e-04 1.0781793e-04 1.1030914e-04
 1.1273651e-04 1.0584212e-04 1.1576176e-04
 1.1847519e-04 1.1595944e-04 1.2216410e-04
 1.2497762e-04 1.0230182e-04 9.9393655e-05
 9.7896530e-05 9.7149469e-05 1.0448412e-04
 9.6179967e-05 9.5820456e-05 9.5822781e-05
 1.1048426e-04 2.4177083e-04 2.3253579e-04
 3.6462650e-04 2.4416135e-04 2.1086531e-04
 3.2254931e-04 2.0080826e-04 3.1387616e-04
 3.1208444e-04 1.1362428e-04 1.3985136e-04
 2.0615816e-04 2.0886589e-04 2.7380604e-04
 2.6797201e-04 2.7625966e-04 3.4026247e-04
 3.4122041e-04 2.7805789e-04 4.0124910e-04
 3.4696281e-04 2.7888704e-04 3.4982923e-04
 2.8017560e-04 3.5275859e-04 2.8148716e-04
 3.5573168e-04 2.8282778e-04 3.5875783e-04
 2.8419428e-04 3.6244097e-04 2.9368354e-04
 4.4047349e-04 1.3312049e-04 1.9156177e-04
 1.9296563e-04 2.5097395e-04 2.4900277e-04
 2.5272249e-04 3.1122092e-04 3.1098491e-04
 2.5380177e-04 3.1280385e-04 3.6434046e-04
 3.6577983e-04 2.6112152e-04 1.2588011e-04
 1.7763658e-04 1.8056906e-04 2.3032015e-04
 2.2844544e-04 2.8024992e-04 2.7845568e-04
 2.8255840e-04 3.2995756e-04 3.2753375e-04
 2.7658810e-04 3.2518542e-04 2.7567425e-04
 3.2316991e-04 2.7346171e-04 3.2141736e-04
 2.7362147e-04 3.1922163e-04 2.7301153e-04
 3.1723798e-04 2.7217054e-04 3.1529524e-04
 2.7336971e-04 3.1359791e-04 2.7294344e-04
 3.1173527e-04 2.7064297e-04 3.0994616e-04
 2.6982216e-04 3.0695145e-04 2.6868030e-04
 3.0488832e-04 2.6777810e-04 3.0357353e-04
 2.6888168e-04 3.0254104e-04 2.6859856e-04
 3.0830557e-04 2.6638314e-04 2.9988682e-04
 2.6536214e-04 2.9836922e-04 2.6408288e-04
 2.9681326e-04 2.6369820e-04 2.9546824e-04
 3.3081239e-04 2.6274498e-04 3.2846001e-04
 3.2717235e-04 3.4329450e-04 3.5947099e-04
 3.4807645e-04 2.3135191e-04 2.3028687e-04
 3.5818543e-04 3.9077966e-04 3.9233757e-04
 2.3340695e-04 3.2488690e-04 3.8896968e-04
 3.5652350e-04 2.2910450e-04 2.2999133e-04
 1.9931805e-04 1.9887155e-04 2.2912522e-04
 1.9988678e-04 3.7390324e-04 2.2856183e-04
 3.6137852e-04 4.2280475e-04 4.1993081e-04
 2.2587474e-04 2.2395229e-04 1.9822722e-04
 2.2818893e-04 2.5879526e-04 1.6776808e-04
 3.8815727e-04 1.6803491e-04 1.6795796e-04
 1.6835072e-04 3.7743158e-04 3.8248843e-04
 4.1721834e-04 2.0026037e-04 1.6758725e-04
 1.3602693e-04 4.4780619e-04 2.6032127e-04
 2.8853540e-04 2.3136503e-04 4.3415638e-04
 1.3689478e-04 2.8939164e-04 1.3652255e-04
 3.8458913e-04 3.5252344e-04 3.2168870e-04
 3.1933109e-04 3.5108245e-04 4.1506271e-04
 2.9329427e-04 1.3610065e-04 1.9982584e-04
 2.2691873e-04 1.7701679e-04 1.7516695e-04
 1.2491494e-04 1.7330886e-04 1.1471139e-04
 1.5503890e-04 1.5214055e-04 1.5587663e-04
 1.9817682e-04 1.1174667e-04 1.5015998e-04
 1.4852678e-04 1.8746622e-04 1.8895303e-04
 1.8126207e-04 2.0721969e-04 1.6870134e-04
 1.9060004e-04 1.5206877e-04 1.7370417e-04
 1.3958008e-04 3.0818520e-04 3.0550182e-04
 2.4742086e-04 3.0242744e-04 2.4378628e-04
 3.5968466e-04 3.5597144e-04 1.8973266e-04
 1.8438803e-04 1.3237571e-04 2.9509917e-04
 3.4648041e-04 4.0881804e-04 3.9284905e-04
 4.6197240e-04 4.1434122e-04 4.6858081e-04
 4.9049045e-04 4.5321057e-04 4.5322853e-04
 4.1563851e-04 4.5521954e-04 4.1680487e-04
 4.5305123e-04 4.1520932e-04 3.7692966e-04
 3.7844839e-04 4.9296198e-04 4.5867875e-04
 4.5848625e-04 4.2463392e-04 4.2452537e-04
 3.9130326e-04 4.2487188e-04 3.9008251e-04
 3.5470338e-04 4.5846200e-04 4.2521788e-04
 4.5860222e-04 4.9242278e-04 4.5733729e-04
 3.9271448e-04 4.2451324e-04 4.5128327e-04
 4.8444634e-04 4.4214132e-04 4.4036472e-04
 4.4124523e-04 4.7735798e-04 4.2997017e-04
 4.2950501e-04 3.6285924e-04 4.6651272e-04
 4.1141690e-04 4.0257973e-04 3.6557538e-04
 3.5401920e-04 3.9670122e-04 3.9707781e-04
 4.4290239e-04 2.6849759e-04 4.0796333e-04
 2.9242812e-04 1.0530414e-04 2.7982620e-04
 3.1826785e-04 1.2197520e-04 1.2892692e-04
 1.3209390e-04 1.3695887e-04 1.4003842e-04
 1.3659491e-04 1.4448698e-04 1.2643199e-04
 1.4446655e-04 4.9319782e-04 2.0314860e-04
 4.9211674e-04 4.8518973e-04 1.9711444e-04
 2.8634225e-04 4.7967494e-04 4.3981609e-04
 1.8862528e-04 2.9316186e-04 2.7954409e-04
 2.7678097e-04 1.7772578e-04 2.7117458e-04
 2.6578902e-04 2.6209228e-04 2.6740709e-04
 1.6693067e-04 2.5513132e-04 2.4985462e-04
 2.4533252e-04 3.3272200e-04 3.3174708e-04
 3.3712986e-04 3.4536867e-04 4.2236098e-04
 2.5981957e-04 1.5231098e-04 1.4903355e-04
 3.3621929e-04 1.2281695e-04 1.6991284e-04
 1.6835142e-04 2.1869678e-04 1.8664561e-04
 1.4607603e-04 4.9006584e-04 1.3732222e-04
 1.4288201e-04 1.2004140e-04 1.6790950e-04
 1.1293379e-04 3.9241212e-04 1.0993122e-04
 4.1720990e-04 1.7110100e-04 1.3434928e-04
 3.5059633e-04 1.5909635e-04 4.7053199e-04
 4.4553636e-04 4.7504823e-04 2.2509123e-04
 1.2848656e-04 1.1558937e-04 1.5738413e-04
 3.6249724e-04 3.5860941e-04 9.9055375e-05
 1.6097397e-04 4.5536607e-04 4.4400703e-04
 4.3333725e-04 4.3203627e-04 4.2231525e-04
 4.1353290e-04 3.2953661e-04 4.7160711e-04
 3.5656220e-04 2.3025125e-04 3.0039835e-04
 4.6363786e-04 1.8732674e-04 1.7531780e-04
 1.5311884e-04 1.4384770e-04 2.3045918e-04
 2.3045039e-04 2.3237227e-04 9.8342594e-05
 1.9053723e-04 2.1413130e-04 4.3344355e-04
 2.5177568e-04 1.1899759e-04 2.9337911e-04
 3.5049609e-04 2.0219036e-04 2.9516740e-04
 1.5449222e-04 2.9993812e-04 3.7477780e-04
 1.9033437e-04 2.5111052e-04 1.3652584e-04
 3.0107713e-04 1.7949116e-04 2.3952417e-04
 2.6010084e-04 3.6073821e-04 3.3576397e-04
 4.8382869e-04 2.9490078e-04 4.6478958e-04
 4.4235239e-04 3.9934707e-04 2.3196337e-04
